RecipeName,Ingredients,ImageURL
Spaghetti,"pasta, tomato, garlic, olive oil","pasta.jpg"
Pizza,"dough, tomato, cheese, olive oil","pasta.jpg"
Salad,"lettuce, tomato, cucumber, olive oil","salad.jpg"
Sandwich,"bread, cheese, tomato, lettuce","python project/sandwich.png"
Omelette,"egg, cheese, tomato, onion","python project/omlette.jpg"
Burger,"bread, patty, cheese, lettuce","burger.jpeg"
Sushi,"rice, fish, seaweed, soy sauce","project/sushi.jpg"
Tacos,"tortilla, beef, lettuce, tomato","project/tacos.jpg"
Biryani,"rice, chicken, spices, yogurt","project/biryani.jpg"
Pancakes,"flour, milk, egg, sugar","project/pancakes.jpg"
Soup,"vegetables, broth, salt, pepper","project/soup.jpg"
Steak,"beef, salt, pepper, butter","project/steak.jpg"
Curry,"chicken, curry powder, tomato","project/curry.jpg"
Fries,"potatoes, oil, salt","project/fries.jpg"
Nachos,"tortilla, cheese, jalapeno","project/nachos.jpg"
Dosa,"rice flour, urad dal, salt","project/dosa.jpg"
Idli,"rice, urad dal, salt","project/idli.jpg"
Spring Rolls,"vegetables, wrapper, soy sauce","project/spring_rolls.jpg"
Brownie,"chocolate, flour, sugar, butter","project/brownie.jpg"
Cupcake,"flour, sugar, butter, egg","project/cupcake.jpg"
donut,"flour, sugar, butter, oil","C:/python project/donut.jpg"
Ice Cream,"milk, sugar, cream","project/ice_cream.jpg"
Waffles,"flour, milk, sugar, butter","project/waffles.jpg"
smottie,"fruits, yogurt, honey","project/smottie.jpg"
Lasagna,"pasta sheets, tomato sauce, cheese","project/lasagna.jpg"
Quesadilla,"tortilla, cheese, chicken","project/quesadilla.jpg"
Grilled Cheese,"bread, cheese, butter","project/grilled_cheese.jpg"
Hot Dog,"bread, sausage, mustard","project/Hot Dog.jpg"
Fried Rice,"rice, vegetables, soy sauce","project/fried_rice.jpg"
Noodles,"noodles, vegetables, soy sauce","project/noodles.jpg"
Pav Bhaji,"bun, vegetables, mashed potatoes","project/pav_bhaji.jpg"
Porridge,"oats, milk, honey","project/porridge.jpg"
